Movie Title,Year,Score TOMATOMETER,Score AUDIENCE,Directors,Starring
Running Scared,1986,59%,58%,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer"
Equilibrium,2002,40%,81%,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen"
Hero,2002,94%,87%,Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung Man-yuk, Donnie Yen"
Road House,1989,39%,66%,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara"
Unstoppable,2010,87%,72%,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn"
Shaft,1971,87%,68%,Gordon Parks,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi"
The Villainess,2017,85%,66%,Jeong Byeong-gil,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung"
Highlander,1986,70%,79%,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown"
Die Hard 2,1990,69%,70%,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson"
National Treasure,2004,46%,76%,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean"
The Protector,2005,53%,76%,Prachya Pinkaew,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao"
Revenge,2017,93%,58%,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède"
El Mariachi,1992,91%,76%,Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt"
A Touch of Zen,1971,97%,83%,King Hu,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao"
Top Gun,1986,58%,83%,Tony Scott,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer"
Con Air,1997,58%,75%,Simon West,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi"
The Expendables 2,2012,67%,67%,Simon West,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren"
The Mummy,1999,61%,75%,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Mr. & Mrs. Smith,2005,59%,58%,Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody"
Rush Hour,1998,61%,78%,Brett Ratner,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña"
The Equalizer,2014,60%,76%,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour"
Captain America: Civil War,2016,90%,89%,Anthony Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Air Force One,1997,79%,66%,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson"
Bloodsport,1988,46%,74%,Newt Arnold,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton"
Blade,1998,57%,78%,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
Bad Boys,1995,42%,78%,Michael Bay,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo"
Die Hard With a Vengeance,1995,59%,83%,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene"
The Running Man,1987,67%,60%,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto"
Code of Silence,1985,70%,51%,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese"
Shoot 'Em Up,2007,67%,65%,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon"
Crank,2006,62%,71%,Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez"
Machete,2010,71%,63%,Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal"
Drive,2011,93%,79%,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
Batman,1989,73%,84%,Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl"
Under Siege,1992,79%,62%,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak"
Independence Day,1996,67%,75%,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
Bullitt,1968,98%,85%,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon"
Wanted,2008,71%,69%,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp"
Superman: The Movie,1978,93%,86%,Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder"
Ronin,1998,69%,80%,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard"
They Live,1988,85%,79%,John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower"
Cliffhanger,1993,67%,52%,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner"
Marvel's the Avengers,2012,91%,91%,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
Hot Fuzz,2007,91%,89%,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine"
The Warriors,1979,88%,88%,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler"
Starship Troopers,1997,68%,70%,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey"
Elite Squad 2,2010,91%,91%,José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held"
Point Break,1991,70%,79%,Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
The Long Kiss Goodnight,1996,68%,70%,Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko"
The Guest,2014,92%,69%,Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley"
Taken,2008,59%,85%,Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
300,2006,61%,89%,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
